risk_factor,mediator,cause,mf,mf_lo,mf_hi
Lead exposure,High systolic blood pressure,Ischaemic heart disease,0.059,0.052,0.068
Lead exposure,High systolic blood pressure,Ischaemic stroke,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Intracerebral haemorrhage,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Subarachnoid haemorrhage,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Hypertensive heart disease,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Atrial fibrillation and flutter,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Aortic aneurysm,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Lead exposure,High systolic blood pressure,Chronic kidney disease,1.0,1.0,1.0
Smoking,High fasting plasma glucose,Lower extremity peripheral arterial disease,0.087,0.061,0.121
Smoking,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet low in fruits,High systolic blood pressure,Ischaemic heart disease,0.065,0.052,0.08
Diet low in fruits,High LDL cholesterol,Ischaemic heart disease,0.065,0.052,0.08
Diet low in fruits,High fasting plasma glucose,Ischaemic stroke,0.05,0.04,0.061
Diet low in fruits,High systolic blood pressure,Ischaemic stroke,0.05,0.04,0.061
Diet low in fruits,High LDL cholesterol,Ischaemic stroke,0.05,0.04,0.061
Diet low in fruits,High systolic blood pressure,Intracerebral haemorrhage,0.024,0.019,0.029
Diet low in fruits,High systolic blood pressure,Subarachnoid haemorrhage,0.024,0.019,0.029
Diet low in fruits,High systolic blood pressure,Hypertensive heart disease,1.0,1.0,1.0
Diet low in fruits,High systolic blood pressure,Aortic aneurysm,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,Chronic kidney disease,0.151,0.021,0.313
Diet low in fruits,High systolic blood pressure,Chronic kidney disease,0.849,0.687,0.979
Diet low in fruits,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet low in fruits,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Ischaemic heart disease,0.063,0.013,0.199
Diet low in vegetables,High systolic blood pressure,Ischaemic heart disease,0.041,0.025,0.054
Diet low in vegetables,High LDL cholesterol,Ischaemic heart disease,0.041,0.025,0.054
Diet low in vegetables,High fasting plasma glucose,Ischaemic stroke,0.083,0.039,0.16
Diet low in vegetables,High systolic blood pressure,Ischaemic stroke,0.027,0.016,0.038
Diet low in vegetables,High LDL cholesterol,Ischaemic stroke,0.087,0.042,0.156
Diet low in vegetables,High fasting plasma glucose,Intracerebral haemorrhage,0.083,0.039,0.16
Diet low in vegetables,High systolic blood pressure,Intracerebral haemorrhage,0.036,0.022,0.052
Diet low in vegetables,High systolic blood pressure,Subarachnoid haemorrhage,0.036,0.022,0.052
Diet low in vegetables,High systolic blood pressure,Hypertensive heart disease,1.0,1.0,1.0
Diet low in vegetables,High systolic blood pressure,Aortic aneurysm,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Chronic kidney disease,0.055,,
Diet low in vegetables,High systolic blood pressure,Chronic kidney disease,0.945,0.86,1.014
Diet low in vegetables,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet low in vegetables,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet low in whole grains,High LDL cholesterol,Ischaemic heart disease,0.385,0.169,0.54
Diet low in whole grains,High LDL cholesterol,Ischaemic stroke,0.165,0.054,0.371
Diet low in whole grains,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet low in whole grains,High fasting plasma glucose,Chronic kidney disease,1.0,1.0,1.0
Diet low in whole grains,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet low in whole grains,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet low in whole grains,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet low in whole grains,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet low in nuts and seeds,High LDL cholesterol,Ischaemic heart disease,0.196,0.011,0.759
Diet low in milk,Diet low in calcium,Colon and rectum cancer,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Chronic kidney disease,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet high in red meat,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Ischaemic heart disease,0.01,0.006,0.016
Diet high in processed meat,High fasting plasma glucose,Ischaemic stroke,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Lower extremity peripheral arterial disease,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Chronic kidney disease,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Drug-susceptible tuberculosis,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Multidrug-resistant tuberculosis without extensive drug resistance,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Extensively drug-resistant tuberculosis,1.0,1.0,1.0
Diet high in processed meat,High fasting plasma glucose,Diabetes mellitus type 2,1.0,1.0,1.0
